State,Year,Deaths,Population,Crude Rate
Alabama,2016,769,3764075,20.43
Alabama,2017,810,3778469,21.44
Alabama,2018,793,3795827,20.89
Alabama,2019,779,3814879,20.42
Alaska,2016,179,554605,32.28
Alaska,2017,189,554290,34.1
Alaska,2018,173,552443,31.32
Alaska,2019,191,551562,34.63
Arizona,2016,1236,5305854,23.3
Arizona,2017,1280,5406846,23.67
Arizona,2018,1380,5520424,25
Arizona,2019,1384,5638481,24.55
Arkansas,2016,534,2283992,23.38
Arkansas,2017,604,2295975,26.31
Arkansas,2018,535,2307029,23.19
Arkansas,2019,533,2317649,23
California,2016,4167,30079958,13.85
California,2017,4185,30312183,13.81
California,2018,4372,30489840,14.34
California,2019,4327,30617582,14.13
Colorado,2016,1110,4276238,25.96
Colorado,2017,1110,4348783,25.52
Colorado,2018,1221,4427531,27.58
Colorado,2019,1250,4499217,27.78
Connecticut,2016,389,2826286,13.76
Connecticut,2017,391,2829955,13.82
Connecticut,2018,412,2835852,14.53
Connecticut,2019,425,2837847,14.98
Delaware,2016,117,745192,15.7
Delaware,2017,110,752962,14.61
Delaware,2018,109,761767,14.31
Delaware,2019,108,770192,14.02
District of Columbia,2016,40,564335,7.09
District of Columbia,2017,46,570224,8.07
District of Columbia,2018,53,574899,9.22
District of Columbia,2019,43,577581,7.44
Florida,2016,3074,16454125,18.68
Florida,2017,3153,16761710,18.81
Florida,2018,3490,17022312,20.5
Florida,2019,3386,17247808,19.63
Georgia,2016,1352,7793397,17.35
Georgia,2017,1392,7898920,17.62
Georgia,2018,1506,8004254,18.81
Georgia,2019,1526,8113542,18.81
Hawaii,2016,168,1120393,14.99
Hawaii,2017,223,1119232,19.92
Hawaii,2018,174,1117851,15.57
Hawaii,2019,217,1116004,19.44
Idaho,2016,335,1244650,26.92
Idaho,2017,372,1275225,29.17
Idaho,2018,391,1305697,29.95
Idaho,2019,348,1338864,25.99
Illinois,2016,1369,9890700,13.84
Illinois,2017,1401,9882846,14.18
Illinois,2018,1431,9868021,14.5
Illinois,2019,1381,9853946,14.01
Indiana,2016,1001,5058410,19.79
Indiana,2017,1060,5085178,20.84
Indiana,2018,1026,5124875,20.02
Indiana,2019,940,5164245,18.2
Iowa,2016,434,2400528,18.08
Iowa,2017,458,2409939,19
Iowa,2018,475,2419293,19.63
Iowa,2019,504,2428229,20.76
Kansas,2016,496,2193944,22.61
Kansas,2017,522,2196861,23.76
Kansas,2018,526,2205863,23.85
Kansas,2019,497,2213064,22.46
Kentucky,2016,728,3426490,21.25
Kentucky,2017,744,3441848,21.62
Kentucky,2018,775,3453950,22.44
Kentucky,2019,732,3464802,21.13
Louisiana,2016,656,3564014,18.41
Louisiana,2017,696,3563228,19.53
Louisiana,2018,693,3562936,19.45
Louisiana,2019,675,3561164,18.95
Maine,2016,219,1076820,20.34
Maine,2017,267,1081990,24.68
Maine,2018,263,1088754,24.16
Maine,2019,268,1095370,24.47
Maryland,2016,568,4657773,12.19
Maryland,2017,606,4679938,12.95
Maryland,2018,627,4696364,13.35
Maryland,2019,637,4710993,13.52
Massachusetts,2016,609,5445309,11.18
Massachusetts,2017,661,5486516,12.05
Massachusetts,2018,723,5517850,13.1
Massachusetts,2019,636,5539703,11.48
Michigan,2016,1307,7756650,16.85
Michigan,2017,1397,7792367,17.93
Michigan,2018,1468,7821890,18.77
Michigan,2019,1407,7842924,17.94
Minnesota,2016,712,4230615,16.83
Minnesota,2017,749,4266712,17.55
Minnesota,2018,703,4303812,16.33
Minnesota,2019,797,4336475,18.38
Mississippi,2016,373,2266981,16.45
Mississippi,2017,429,2274009,18.87
Mississippi,2018,406,2274357,17.85
Mississippi,2019,417,2277566,18.31
Missouri,2016,1095,4700914,23.29
Missouri,2017,1105,4723749,23.39
Missouri,2018,1166,4744939,24.57
